mm_id,mountain_name,mountain_height,date,done,comment
706705,Beinn Narnain,927,23/07/2023,1,56.220947;-4.789002;idk-th
706706,Ben Vorlich,943,23/07/2023,1,56.274030;-4.755047;idk-th
706707,Beinn Chabhair,933,23/07/2023,1,56.325775;-4.641485;idk-th
706708,Ben More,1174,23/07/2023,1,56.385952;-4.540103;idk-th
706709,Beinn a'Chroin,940,23/07/2023,1,56.331987;-4.609638;idk-th
706710,An Caisteal,995,23/07/2023,1,56.338618;-4.624386;idk-th
706711,Ben Challum [Beinn Challuim],1025,23/07/2023,1,56.454565;-4.619183;idk-th
706712,Ben Vorlich,982,23/07/2023,1,56.342671;-4.219463;idk-th
706713,Beinn Ime,1011,23/07/2023,1,56.236820;-4.817159;idk-th
706714,Ben Vane,915,23/07/2023,1,56.249777;-4.781638;idk-th
706715,Beinn Bhuidhe,948,11/01/2024,1,56.326662;-4.906722;13th?
706716,Ben Oss,1029,25/07/2023,1,56.389263;-4.775488;11th?
706717,Beinn Dubhchraig,978,25/07/2023,1,56.391304;-4.743194;12th?
